CHEMICAL NAME,CAS No.,FORMULA,MOLECULAR WEIGHT (MW),SPECIFIC GRAVITY,pH,DIPOLE MOMENT (Debye),BOILING PT (Bp °C),MELTING PT (Mp °C),TLV TWA (ppm),FR VME (ppm),MAK TRK (ppm),Olf. (ppm),NIOSH TWA (ppm),TLV TWA (mg/m³),NIOSH TWA (mg/m³),A,B,C,D,E,F,G,H,HEPA,ESCO,!,COMBINATION,NON DUCTLESS RECOMMENDED PRODUCTS
METHYL-n-AMYL KETONE,110-43-0,C7H14O,114,0.81,,,151.5,,50,50,,0.35,100,,465,1,,,,,,,,,,,,
1- METHYL-3-PROPYLIMIDAZOLIUM IODIDE,119171-18-5,C7H13O2,252,,,,,,,,,,,,,2,,,,,,,,,,,,
2 & 3-METHYLPENTANE,,C6H14,86,,,,60,,,,200,,,,,,,,,,,,,,1,,,
1-METHYL-2-PYRROLIDINONE (Vapors),872-50-4,C5H9NO,99,,,,202,,,,19,,,,,,,,,,,,,,,1,,EFA
METHYL SILICATE,681-84-5,C4H12O4Si,152,1.02,,,121,,1,1,,,1,,6,,,,,,,,,,,1,,EFA
METHYL-2-CYANOACRYLATE,137-05-3,C5H5NO2,111.1,1.1,,,,,,,,,2,,8,,,,,,,,,,,1,,EFA
METHYLAMINE,74-98-5,CH5N,31,0.001296,,,6.3,,5,,10,3.2,10,,12,2,,,,,,,,,,,,
METHYLCYCLOHEXYL ISOCYANATE,,,,,,,,,0.005,,,,,,,1,,,,,,,,,,,,
a-METHYL STYRENE,98-83-9,C9H10,118,0.91,,,152,,50,50,100,0.29,50,,240,1,,,,,,,,,,,,
MEVINPHOS,7786-34-7,C7H13O6P,224,,,,106,,,0.01,0.01,,0.01,0.09,0.1,1,,,,,,,,,,,,
MICA,12001-26-2,,,2.6-3.2,,,,,,,,,,3,3,,,,,,,,,1,,,,
MOLYBDENUM insoluble cpds,7439-98-7,Mo,,10.28,,,,,,,,,,10,,,,,,,,,,1,,,,
MOLYBDENUM soluble cpds,,Mo,,,,,,,,,,,,5,,,,,,,,,,1,,,,
MONOCROTOPHOS,6923-22-4,C7H14O5PN,223,,,,125,,,,,,,0.25,0.25,,,,,,,,,,,1,,EFA
MONOCHLOROBENZENE,108-90-7,C6H5Cl,112.56,1.11,,,131,-45,,,,,,,,1,,,,1,,,,,,,,
MONOMETHYL HYDRAZINE,60-34-4,CH6N2,46,0.87,,,87.5,,0.01,0.2,,1.7,C0.04,,C0.08,,,,,,,,,,,1,,EFA
MONOSODIUM CITRATE,18996-35-5,C6H7NaO7,214.11,,,,,,,,,,,,,,,,,,,,,1,,,,
NAPHTALENE,91-20-3,C10H8,128,1.15,,,218,,10,10,10,,10,,50,1,,,,,,,,,,,,
NAPHTHA (COAL TAR),8030-30-6,,110 (approx),0.89-0.97,,,320-428°F,,,,,,,,400,1,,,,,,,,,,,,
NAPHTHA (PETROLEUM),,,,0.6 - 0.8,,,,,,,,,,,,1,,,,,,,,,,,,
NAPHTHALENE,91-20-3,C10H9,128,1.15,,,218,,10,10,10,0.08,10,,50,1,,,,,,,,,,,,
2-NAPHTHYLAMINE,91-59-8,C10H9N,143,1.06,,,603,,,,,,,,,,,,,,,,,,,1,,EFA
"1,5-NAPHTHYLENE DIISOCYANATE",3173-72-6,C12H6N2O2,206,,,,,,,0.01,0.01,,0.01,,0.04,,,,,,,,,,,1,,EFA
NICKEL Metal & Dust,7440-02-0,Ni,,8.9,,,2730,,,,,,,1.5,0.02,,,,,,,,,1,,,,
NICKEL CARBONYL,13463-39-3,Ni(CO)4,171,1.32,,,43,,0.05,0.05,,0.3,,,0.01,,,,,,,,,,,1,,EFA
NICKEL Inorganic insol. cpds,,Ni,,,,,,,,,,,,0.2,,,,,,,,,,,,1,,EFA
NICKEL Soluble cpds,,,,,,,,,,,,,,0.1,,,,,,,,,,1,,,,
NICKEL SUBSULFIDE as Ni,12035-72-2,Ni3S2,240,,,,,790,,,,,,0.1,,,,,,,,,,1,,,,
NICOTINE,54-11-5,C10H14N2,162.26,1.01,,,247,-79,,,,,,,,1,,,,,,,,,,,,
NITRIC ACID 68% cold/hot 6,7697-37-2,HNO3,240,1.5,1,,Ctc,2,2,2,,,2,,5,,2,,,,,,,,,,,
NITRIC OXIDE,,NO,30,0.001248,,,-152,,25,25,,,25,,30,,,,,,,,,,1,,,
Para-NITROANILINE,10102-43-9,C6H6N2O2,138,1.42,,,332,,,,1,,,3,3,,,,,,,,,,1,,,
NITROBENZENE,98-95-3,C6H5NO2,123,1.2,,,210,,1,1,1,0.02,1,,5,1,,,,,,,,,,,,
NITROETHANE,79-24-3,C2H5NO2,75,1.05,,,114,,100,100,100,2.1,100,,310,,,,,,,,,,,1,,EFA
NITROGEN DIOXIDE,10102-44-0,NO2 / N2O4,46,0.003144,,,21,,3,,5,0.39,,,,,,,,,,,,,1,,,
NITROGEN TRIFLUORIDE,7783-54-2,NF3,71,0.002952,,,-129,,10,10,,,10,,29,,2,,,,,,,,,,,
NITROGLYCERIN,55-63-0,C3H5N3O9,144,1.6,,,218,,0.05,0.15,0.05,,,,,1,,,,,,,,,,,,
NITROMETHANE,75-52-5,CH3NO2,61,1.14,6.12,,101,,20,100,100,3.5,,,,,,,,,,,,,,1,,EFA
NITROTOLUENE,88-72-2,C7H7NO2,137,,,,,"-9,3",,,,,,,,1,,,,,,,,,,,,
2-NITRONAPHTHALENE,581-89-5,C10H7NO2,,,,,,,,,0.04,,,,,1,,,,,,,,,,,,
2-NITROPROPANE,79-46-9,C3H7NO2,89,0.99,,,120,,25,25,25,11,25,,90,,,,,,,,,,,1,,EFA
NITROUS OXIDE,10024-97-2,N2O,30,0.001836,,,-88.5,,50,,,,25,,46,2,,,,,,,,,,,,
n-NONANE all isomers,111-84-2,C9H20,128,0.72,,,151,,200,200,,47,200,,1050,1,,,,,,,,,,,,
OCTENE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
n-OCTANE all isomers,111-65-9,C8H18,114,0.7,,,126,,300,300,500,48,75,,350,1,,,,,,,,,,,,
OSMIUM TETROXIDE,20816-12-0,OsO4,254,5.1,,,Subl,,,,,,,,,,,,,,,,,,,1,,EFA
OXALIC ACID,144-62-7,C2H2O4,126,1.9,,,Subl,,,,,,,1,1,2,,,,,,,,,,,,
OXYGEN DIFLUORIDE,7783-41-7,OF2,54,0.002256,,,-145,,,,,0.1,C0.05,,C0.1,,,,,,,,,,,1,,EFA
OZONE,10028-15-6,O3,48,2.144,,,?111.9,?192.5,,,,,,,,1,,,,,,,,,,,,
PALMITIC ACID,57-10-3,C16H32O2,256.42,0.853,,,351-352,62.9,,,,,,,,1,,,,,,,,,,,,
PARADICHLOROBENZENE,106-46-7,C6H4Cl2,147,1.25,,,174,53.5,,,,,,,,1,,,,,,,,,,,,
PARAFFINE WAX fume,8002-74-2,,,0.88-0.92,,,,47,,,,,,2,2,,,,,,,,,,,,A(1) & HP (2),
PARAFORMALDEHYDE,30525-89-4,OH(CH2O)nH (n = 8 - 100),,0.88,,,,120-170,,,,,,,,2,,,,,1,,,,,,,
PARAQUAT (PARAQUAT DICHLORIDE),1910-42-5,C12H14Cl2N2,257.2,1.24,,,,572°F,,,,,,,0.1,,,,,,,,,,,,A(1) & HP (2),
PARAQUAT respirable fraction 2 Cl,1910-42-5,C12H14N2,246,1.24,,,Decomp,300,,,,,,0.1,0.1,,,,,,,,,,,,A(1) & HP (2),
PARATHION,56-38-2,C10H14NO5PS,291,1.27,,,375,,,,,,,0.1,0.05,,,,,,,,,1,,,,
Pent-1-yne,627-19-0,C5H8,68.12,0.691,,,40.2,?106 to?105,,,,,,,,1,,,,,,,,,,,,
Pent-2-yne,627-21-4,C5H8,68.12,0.71,,,56 to 57,?109,,,,,,,,1,,,,,,,,,,,,
PENTABORANE,19624-22-7,B5H9,63,0.62,,,60,,0.01,0.01,0.01,0.9,0.01,,0.01,1,,,,,,,,,,,,
PENTACHLOROETHANE,76-01-7,C2HCl5,200,1.68,,,161,,,,5,,,,,1,,,,1,,,,,,,,
PENTACHLORO NAPHTALENE,1321-64-8,C10H3Cl5,301,1.67,,,326,,,,,,,0.5,0.5,,,,,,,,,,,,A(1) & HP (2),
PENTAERYTHRITOL TETRANITRATE,78-11-5,C5H8N4O12,,,,,180,141.3,,,,,,,,,,,,,,,,1,,,,EFP
PENTYLENE,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
PERACETIC ACID,79-21-0,C2H4O3,76.05,1.13,,,105,0.1,,,,,,,,1,,,,,,,,,,,,
n-PENTANE all isomers,109-66-0,C5H12,72,0.63,,,36.1,,600,600,1000,400,120,,350,1,,,,,,,,,,,,
n-PENTANOIC ACID,,C5H10O2,102,,,,185,,,,,,,,,1,,,,,,,,,,,,
2-PENTANONE,107-87-9,C5H10O,86,0.81,,,102,,200,200,200,11,150,,530,1,,,,,,,,,,,,
PERLITE 1% quartz,93763-70-3,,,,,,,,,,,,,10,10,,,,,,,,,1,,,,
PHENIDONE,92-43-3,C9H10N2O,162.19,,,,,121,,,,,,,,1,,,,,,,,,,,,
PHENOL cold/hot,108-95-2,C6H6O,94,1.06,6,,182,,5,5,5,0.04,5,,19,1,,,,,,,,,,,,
2-PHENOXYETHANOL,,C8H10O2,102,,,,245,,,,20,,,,,1,,,,,,,,,,,,
PHENOLPHTHALEIN,77-09-8,C20H14O4,318.32,1.277,,,,262.5,,,,,,,,1,,,,,,,,,,,,
PHENYL ETHER-BIPHENYL mixture (vapor),8004-13-5,C24H20O,166,1.06,,,495°F,,,,,,1,,7,1,,,,,,,1,,,,,
PHENYL ETHER vapor,101-84-8,C12H10O,170,1.08,,,259,,1,1,1,,1,,7,1,,,,,,,1,,,,,
